,latitude,longitude,city,state,status,population,county,countyfips,country
1706,37.592512749,-122.382323604,BURLINGAME,CA,OPEN,241,SAN MATEO,06081,USA
1707,37.4793650190001,-122.254884344,REDWOOD CITY,CA,OPEN,208,SAN MATEO,06081,USA
1708,37.679885041,-122.474237571,DALY CITY,CA,OPEN,357,SAN MATEO,06081,USA
1709,37.526391447,-122.507276616,MOSS BEACH,CA,OPEN,121,SAN MATEO,06081,USA
1710,38.0992549150001,-122.56002452,NOVATO,CA,OPEN,47,MARIN,06041,USA
1711,36.743890379,-119.785239804,FRESNO,CA,OPEN,685,FRESNO,06019,USA
1712,36.8350874830001,-119.765762853,FRESNO,CA,OPEN,436,FRESNO,06019,USA
1713,37.937184664,-122.361378438,RICHMOND,CA,OPEN,50,CONTRA COSTA,06013,USA
1714,37.891346362,-122.058839307,WALNUT CREEK,CA,OPEN,233,CONTRA COSTA,06013,USA
1715,37.950991125,-121.775138218,ANTIOCH,CA,OPEN,150,CONTRA COSTA,06013,USA
1716,35.3913423340001,-119.006873306,BAKERSFIELD,CA,OPEN,426,KERN,06029,USA
1717,35.640672023,-117.671250966,RIDGECREST,CA,OPEN,98,KERN,06029,USA
1718,38.5700612750001,-121.452468425,SACRAMENTO,CA,OPEN,419,SACRAMENTO,06067,USA
1719,38.55296329,-121.455330044,SACRAMENTO,CA,OPEN,80,SACRAMENTO,06067,USA
1720,40.7841218500001,-124.142236906,EUREKA,CA,OPEN,138,HUMBOLDT,06023,USA
1721,33.660701768,-117.772409483,IRVINE,CA,OPEN,84,ORANGE,06059,USA
1722,33.6244711150001,-117.929302005,NEWPORT BEACH,CA,OPEN,443,ORANGE,06059,USA
1723,33.6582356330001,-117.774927793,IRVINE,CA,OPEN,174,ORANGE,06059,USA
1724,33.7814698020001,-117.864222711,ORANGE,CA,OPEN,457,ORANGE,06059,USA
1743,34.078757766,-117.695976573,MONTCLAIR,CA,OPEN,102,SAN BERNARDINO,06071,USA
1744,34.2048888570001,-118.215980012,GLENDALE,CA,OPEN,158,LOS ANGELES,06037,USA
1748,35.640900451,-117.672631053,RIDGECREST,CA,OPEN,99,KERN,06029,USA
2172,34.073989506,-117.351004945,COLTON,CA,OPEN,456,SAN BERNARDINO,06071,USA
2173,34.129371905,-117.325459589,SAN BERNARDINO,CA,OPEN,60,SAN BERNARDINO,06071,USA
2174,34.2464007460001,-116.888207605,BIG BEAR LAKE,CA,OPEN,30,SAN BERNARDINO,06071,USA
